,gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.028024674,20221214200523367,None,20,27,22,23,22,20,22,19
1,0,2.038014412,20221214200523377,None,21,27,24,24,22,21,23,19
2,0,2.048047781,20221214200523387,None,21,27,24,24,22,21,23,19
3,0,2.058050633,20221214200523397,None,21,26,23,23,22,20,22,19
4,0,2.068019152,20221214200523407,None,21,26,23,23,22,20,22,19
5,0,2.077994585,20221214200523417,None,19,24,22,23,22,21,21,20
6,0,2.0881567,20221214200523427,None,19,24,22,23,22,21,21,20
7,0,2.098173857,20221214200523437,None,18,23,21,23,21,23,22,21
8,0,2.108157397,20221214200523447,None,18,23,21,23,21,23,22,21
9,0,2.118594885,20221214200523458,None,18,26,25,25,22,22,20,21
10,0,2.128247261,20221214200523468,None,18,26,25,25,22,22,20,21
11,0,2.13822341,20221214200523478,None,17,26,21,24,22,22,18,21
12,0,2.148587227,20221214200523488,None,17,26,21,24,22,22,18,21
13,0,2.158240795,20221214200523498,None,15,25,24,24,23,22,18,19
14,0,2.168196678,20221214200523508,None,15,25,24,24,23,22,18,19
15,0,2.178369522,20221214200523518,None,17,24,26,25,22,20,19,20
16,0,2.188658715,20221214200523528,None,17,24,26,25,22,20,19,20
17,0,2.198204041,20221214200523538,None,17,23,25,23,21,18,21,20
18,0,2.208340407,20221214200523548,None,17,23,25,23,21,18,21,20
19,0,2.218465329,20221214200523558,None,18,22,24,23,23,20,21,20
20,0,2.228214026,20221214200523568,None,18,22,24,23,23,20,21,20
21,0,2.23854971,20221214200523578,None,19,20,26,23,23,21,22,23
22,0,2.248262406,20221214200523588,None,19,20,26,23,23,21,22,23
23,0,2.258489371,20221214200523598,None,20,22,25,24,22,21,23,23
24,0,2.268193722,20221214200523608,None,20,22,25,24,22,21,23,23
25,0,2.278511286,20221214200523618,None,20,22,23,22,21,24,21,23
26,0,2.288458348,20221214200523628,None,20,22,23,22,21,24,21,23
27,0,2.29810977,20221214200523637,None,21,25,25,23,21,25,20,25
28,0,2.308459282,20221214200523648,None,21,25,25,23,21,25,20,25
29,0,2.318103791,20221214200523657,None,22,24,24,23,22,23,19,23
30,0,2.328028679,20221214200523667,None,22,24,24,23,22,23,19,23
31,0,2.338356018,20221214200523678,None,22,24,24,23,22,23,19,23
32,0,2.34818697,20221214200523688,None,22,25,24,24,23,22,19,22
33,0,2.358221531,20221214200523698,None,22,24,20,24,23,24,19,23
34,0,2.368428707,20221214200523708,None,22,24,20,24,23,24,19,23
35,0,2.378266096,20221214200523718,None,22,24,20,24,23,24,19,23
36,0,2.38814807,20221214200523727,None,22,24,21,26,24,22,20,24
37,0,2.398487568,20221214200523738,None,22,24,21,26,24,22,20,24
38,0,2.408118964,20221214200523747,None,21,22,18,25,24,21,19,23
39,0,2.4181134699999998,20221214200523757,None,19,21,18,23,22,20,20,24
40,0,2.428080082,20221214200523767,None,19,21,18,23,22,20,20,24
41,0,2.4382298000000002,20221214200523778,None,20,23,19,25,21,22,19,23
42,0,2.448224306,20221214200523788,None,20,23,19,25,21,22,19,23
43,0,2.458122254,20221214200523797,None,21,24,22,26,24,20,18,22
44,0,2.4681816100000002,20221214200523808,None,21,24,22,26,24,20,18,22
45,0,2.478134871,20221214200523817,None,22,24,22,25,23,21,17,22
46,0,2.488425732,20221214200523828,None,22,24,22,25,23,21,17,22
47,0,2.498213768,20221214200523838,None,23,25,24,27,23,21,20,21
48,0,2.508510351,20221214200523848,None,23,25,24,27,23,21,20,21
49,0,2.518218041,20221214200523858,None,22,25,24,28,23,21,20,20
50,0,2.52818656,20221214200523868,None,22,25,24,28,23,21,20,20
51,0,2.538339138,20221214200523878,None,22,24,23,27,23,20,22,21
52,0,2.5482001309999998,20221214200523888,None,22,24,23,27,23,20,22,21
53,0,2.558120966,20221214200523897,None,22,23,25,26,21,21,23,21
