,gt,time_elapsed,current_time,current_task,motor_position,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7
0,0,2.027151346,20221117114732194,None,14,23,24,22,18,24,43,36,23
1,0,2.037141323,20221117114732204,None,14,23,24,22,18,24,43,36,23
2,0,2.047140598,20221117114732214,None,14,23,23,22,19,26,37,34,24
3,0,2.057147741,20221117114732224,None,14,23,23,22,19,26,37,34,24
4,0,2.067139625,20221117114732234,None,14,22,24,22,17,32,35,26,25
5,0,2.077128649,20221117114732244,None,14,22,24,22,17,32,35,26,25
6,0,2.087107897,20221117114732254,None,14,20,24,23,19,36,35,27,20
7,0,2.097179889,20221117114732264,None,14,20,24,23,19,36,35,27,20
8,0,2.107141971,20221117114732274,None,14,19,23,24,20,35,37,38,19
9,0,2.117149353,20221117114732284,None,14,19,23,24,20,35,37,38,19
10,0,2.127138614,20221117114732294,None,14,17,23,24,20,34,29,39,20
11,0,2.137123108,20221117114732304,None,14,17,23,24,20,34,29,39,20
12,0,2.147119999,20221117114732314,None,14,17,23,24,20,32,31,39,19
13,0,2.157136679,20221117114732324,None,14,17,23,24,20,32,31,39,19
14,0,2.167126179,20221117114732334,None,14,18,22,23,21,25,31,39,19
15,0,2.177177191,20221117114732344,None,14,18,22,23,21,25,31,39,19
16,0,2.187140226,20221117114732354,None,14,20,21,21,22,21,27,39,19
17,0,2.197117328,20221117114732364,None,14,20,21,21,22,21,27,39,19
18,0,2.207107067,20221117114732374,None,14,20,23,21,20,34,26,30,21
19,0,2.217130899,20221117114732384,None,14,20,23,21,20,34,26,30,21
20,0,2.227140665,20221117114732394,None,14,21,24,19,20,39,28,29,22
21,0,2.237130403,20221117114732404,None,14,21,24,19,20,39,28,29,22
22,0,2.247142315,20221117114732414,None,14,20,24,19,22,39,26,32,21
23,0,2.2571387290000002,20221117114732424,None,14,20,24,19,22,39,26,32,21
24,0,2.2671110629999998,20221117114732434,None,14,20,24,20,20,39,32,33,20
25,0,2.277108192,20221117114732444,None,14,20,24,20,20,39,32,33,20
26,0,2.287158489,20221117114732454,None,14,19,24,19,21,40,33,36,21
27,0,2.29713273,20221117114732464,None,14,19,24,19,21,40,33,36,21
28,0,2.307148933,20221117114732474,None,14,19,21,18,23,29,34,35,18
29,0,2.317148208,20221117114732484,None,14,19,21,18,23,29,34,35,18
30,0,2.32712388,20221117114732494,None,14,17,21,19,21,22,34,35,18
31,0,2.337112188,20221117114732504,None,14,17,21,19,21,22,34,35,18
32,0,2.347158432,20221117114732514,None,14,19,17,21,18,23,33,34,18
33,0,2.357127189,20221117114732524,None,14,19,17,21,18,23,33,34,18
34,0,2.367192268,20221117114732534,None,14,19,18,21,21,28,30,38,20
35,0,2.377142906,20221117114732544,None,14,19,18,21,21,28,30,38,20
36,0,2.387127876,20221117114732554,None,14,21,19,21,19,34,39,37,21
37,0,2.397117138,20221117114732564,None,14,21,19,21,19,34,39,37,21
